quem é vc;tes
quem é o Yoda;Yoda é um membro masculino de uma raça cujo nome ...
oi;==saudacao==
que e o yoda;Yoda é um membro masculino de uma raça cujo nome ...
Bom dia;==saudacao==
O que é Holocron;Um holocron, abreviação de crônica holográfica, fo...
Quem é o seu pai;Meu pai é o Darth Vader -q, zuera é o Patrick de M...
Por que o filho de Han Solo o mata;vamo falar sobre outra, coisa, esse assunto é comp...
Quais são as armas dos Storm Troopers;Eles tem uma variedade de armas, mas a arma mais b...
o que são StormTroopers;Stormtroopers foram tropas de assalto do Império G...
o que são clonetroopers;Soldados clones formavam um exército de clones idê...
o que é um blaster;Um Blaster era qualquer tipo de arma à distância q...
o que é Star Wars;Star Wars (Guerra nas Estrelas (título no Brasil) ...
Bom dia;==saudacao==
Boa noite;==saudacao==
Quais são as armas dos Storm Trooper;Eles tem uma variedade de armas, mas a arma mais b...
ONDE fica tATUINI;NULL
Vai tu te fuder;NULL
Quais são as armas dos Storm Trooper4;NULL
O que é star wars;NULL
Então star trek;NULL
Bua tarde;==saudacao==
Boa tardi;NULL
Bon dia;==saudacao==
Bon di/a;NULL
Bom dia/;NULL
O que é jedi;NULL
Quem é a esposa de anakin;Padmé
Quem é Yoda;Yoda é um membro masculino de uma raça cujo nome ...
Oi;==saudacao==
Quais são as armas dos Storme Troopers;Eles tem uma variedade de armas, mas a arma mais b...
Quais são as armas dos Storm Troopers;Eles tem uma variedade de armas, mas a arma mais b...
Boa noite;==saudacao==
Quem é a esposa de anakim;Padmé
Quem é a esposa de anakim;Padmé
que disse a frase eu sou seu pai;Darth Vader disse para o Luke
quem disse a frase eu sou seu pai;Darth Vader disse para o Luke
quem é a esposa de anakin;Padmé
quem disse a frase eu sou seu pai;Darth Vader disse para o Luke
que disse a frase eu sou seu pai;Darth Vader disse para o Luke
filhos Anakin Skywalker;Ele tem 2 filhos
Boa tarde;==saudacao==
patrick;Este é o nome do meu criador
Qual a idade do Yoda;
o que éStarwars;tes
o que é Star Wars;tes
