O Obi-Wan Kenobi tem sabre de qual cor?;A arma que ele utiliza é um Sabre de luz azul
qual a cor do sabre do Obi-Wan Kenobi;A arma que ele utiliza é um Sabre de luz azul
Qual a cor do sabre de luz de Obi-Wan Kenobi?;A arma que ele utiliza é um Sabre de luz azul
qual é a arma do Obi-Wan Kenobi?;A arma que ele utiliza é um Sabre de luz azul
Você sabe qual a arma de escolha de Obi-Wan Kenobi?;A arma que ele utiliza é um Sabre de luz azul
o Obi-Wan Kenobi usa sabre?;A arma que ele utiliza é um Sabre de luz azul
qual a idade Obi-Wan Kenobi tem?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
qual a idade Obi-Wan Kenobi ?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
quantos anos tem Obi-Wan Kenobi ?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
Quem foi o primeiro aprendiz de Obi-Wan Kenobi?;os aprendises de Obi-Wan eram Anakin Skywalker Luke Skywalker
Com quantos anos morreu Obi-Wan Kenobi?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
quando morreu Obi-Wan Kenobi?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
Com quantos anos morreu Obi-Wan Kenobi?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
quem foi que matou Obi-Wan Kenobi?;Ele encontrou Vader na estrela da Morte quando ele, Han, e Luke foram salvar Leia, e os dois se comprometeram em um duelo final. Durante esse período, Vader assinalou que sua idade o deixou fraco, mas Kenobi disse a seu ex-aprendiz que ele não venceria porque ele se tornaria mais poderoso do que Vader pudesse imaginar, mesmo que ele conseguisse matá-lo. Os dois abriram caminho, assim como a equipe se reuniu para abordar a Falcon. Ao levantar a lâmina para se render e respirar fundo, Vader o atingiu e seu corpo desapareceu, pois ele se tornou um com a Força. Incapaz de recuperar o corpo de seu mestre, Luke foi forçado a escapar na Falcon com todos os outros.
O que acha do Obi-Wan Kenobi?;--
o que é o Obi-Wan Kenobi ?;Um dos mais respeitados mestres Jedi da Antiga República, Obi-Wan Kenobi foi mentor tanto de Anakin Skywaler (que posteriormente viria a se tornar Darth Vader) quanto do seu filho, Luke. Especialista em infiltração, foi um dos principais comandantes nas Guerras Clônicas e, ao fim do conflito, com a extinção dos Jedi, tomou para si a responsabilidade de guardar o filho do seu antigo amigo.
me fale sobre Obi-Wan Kenobi?;Um dos mais respeitados mestres Jedi da Antiga República, Obi-Wan Kenobi foi mentor tanto de Anakin Skywaler (que posteriormente viria a se tornar Darth Vader) quanto do seu filho, Luke. Especialista em infiltração, foi um dos principais comandantes nas Guerras Clônicas e, ao fim do conflito, com a extinção dos Jedi, tomou para si a responsabilidade de guardar o filho do seu antigo amigo.
